kalimat,cleaned,hasil_label_transformer
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,Netral
Platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat Android,platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat android,Positif
Aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,Netral
Layanan aplikasi berjalan sangat lambat bagi pengguna dalam kondisi normal,layanan aplikasi berjalan sangat lambat bagi pengguna dalam kondisi normal,Negatif
Aplikasi ini meningkatkan produktivitas bagi tim kerja pada versi terbaru,aplikasi ini meningkatkan produktivitas bagi tim kerja pada versi terbaru,Positif
Platform digital ini berjalan sangat lambat bagi pengguna aplikasi di perangkat iOS,platform digital ini berjalan sangat lambat bagi pengguna aplikasi di perangkat ios,Negatif
Layanan aplikasi sulit untuk digunakan bagi pengguna aplikasi secara umum,layanan aplikasi sulit untuk digunakan bagi pengguna aplikasi secara umum,Negatif
Aplikasi ini tersedia untuk pengguna bagi pengguna baru,aplikasi ini tersedia untuk pengguna bagi pengguna baru,Netral
Aplikasi ini bermasalah saat dijalankan bagi tim kerja secara umum,aplikasi ini bermasalah saat dijalankan bagi tim kerja secara umum,Negatif
Layanan aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,layanan aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,Positif
Aplikasi yang digunakan tersedia di berbagai platform bagi saya di perangkat iOS,aplikasi yang digunakan tersedia di berbagai platform bagi saya di perangkat ios,Netral
Aplikasi yang digunakan sering mengalami gangguan bagi pengguna saat digunakan secara rutin,aplikasi yang digunakan sering mengalami gangguan bagi pengguna saat digunakan secara rutin,Negatif
Aplikasi ini berjalan dengan sangat baik bagi pengguna lama,aplikasi ini berjalan dengan sangat baik bagi pengguna lama,Positif
Aplikasi ini memudahkan pekerjaan bagi pengguna baru saat digunakan secara rutin,aplikasi ini memudahkan pekerjaan bagi pengguna baru saat digunakan secara rutin,Positif
Platform digital ini tidak berjalan dengan baik bagi pengguna lama dalam kondisi normal,platform digital ini tidak berjalan dengan baik bagi pengguna lama dalam kondisi normal,Negatif
Layanan aplikasi menyediakan menu utama bagi pengguna aplikasi saat digunakan secara rutin,layanan aplikasi menyediakan menu utama bagi pengguna aplikasi saat digunakan secara rutin,Netral
Platform digital ini dapat digunakan bagi pengguna,platform digital ini dapat digunakan bagi pengguna,Netral
Layanan aplikasi sering mengalami gangguan bagi pengguna lama dalam penggunaan sehari-hari,layanan aplikasi sering mengalami gangguan bagi pengguna lama dalam penggunaan seharihari,Negatif
Aplikasi yang digunakan berjalan sangat lambat bagi pengguna baru,aplikasi yang digunakan berjalan sangat lambat bagi pengguna baru,Negatif
Platform digital ini responsif saat dijalankan bagi pengguna lama pada versi terbaru,platform digital ini responsif saat dijalankan bagi pengguna lama pada versi terbaru,Positif
Aplikasi yang digunakan berjalan sangat lambat bagi tim kerja secara umum,aplikasi yang digunakan berjalan sangat lambat bagi tim kerja secara umum,Negatif
Aplikasi ini sulit untuk digunakan bagi pengguna lama di perangkat Android,aplikasi ini sulit untuk digunakan bagi pengguna lama di perangkat android,Negatif
Aplikasi ini memiliki tampilan standar bagi saya pada versi terbaru,aplikasi ini memiliki tampilan standar bagi saya pada versi terbaru,Netral
Aplikasi yang digunakan mudah digunakan bagi pengguna aplikasi dalam penggunaan sehari-hari,aplikasi yang digunakan mudah digunakan bagi pengguna aplikasi dalam penggunaan seharihari,Positif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat Android,aplikasi ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat android,Netral
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja di perangkat Android,aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja di perangkat android,Netral
Aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat Android,aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat android,Netral
Layanan aplikasi mudah digunakan bagi pengguna baru secara umum,layanan aplikasi mudah digunakan bagi pengguna baru secara umum,Positif
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja dalam penggunaan sehari-hari,aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja dalam penggunaan seharihari,Netral
Sistem aplikasi memiliki tampilan standar bagi pengguna baru saat digunakan secara rutin,sistem aplikasi memiliki tampilan standar bagi pengguna baru saat digunakan secara rutin,Netral
Layanan aplikasi meningkatkan produktivitas bagi pengguna baru pada versi terbaru,layanan aplikasi meningkatkan produktivitas bagi pengguna baru pada versi terbaru,Positif
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna saat digunakan secara rutin,aplikasi yang digunakan memiliki tampilan standar bagi pengguna saat digunakan secara rutin,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna baru secara umum,aplikasi ini berjalan sangat lambat bagi pengguna baru secara umum,Negatif
Aplikasi ini sangat berguna bagi pengguna lama dalam penggunaan sehari-hari,aplikasi ini sangat berguna bagi pengguna lama dalam penggunaan seharihari,Positif
Aplikasi mobile ini menyediakan menu utama bagi saya pada versi terbaru,aplikasi mobile ini menyediakan menu utama bagi saya pada versi terbaru,Netral
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi saya,aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi saya,Positif
Sistem aplikasi tidak responsif bagi tim kerja pada versi terbaru,sistem aplikasi tidak responsif bagi tim kerja pada versi terbaru,Negatif
Platform digital ini tidak responsif bagi pengguna baru dalam penggunaan sehari-hari,platform digital ini tidak responsif bagi pengguna baru dalam penggunaan seharihari,Negatif
Aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna aplikasi di perangkat iOS,aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna aplikasi di perangkat ios,Netral
Platform digital ini dapat digunakan bagi pengguna dalam penggunaan sehari-hari,platform digital ini dapat digunakan bagi pengguna dalam penggunaan seharihari,Netral
Platform digital ini memiliki tampilan standar bagi saya dalam kondisi normal,platform digital ini memiliki tampilan standar bagi saya dalam kondisi normal,Netral
Aplikasi yang digunakan memudahkan pekerjaan bagi saya,aplikasi yang digunakan memudahkan pekerjaan bagi saya,Positif
Aplikasi ini digunakan oleh banyak pengguna bagi pengguna secara umum,aplikasi ini digunakan oleh banyak pengguna bagi pengguna secara umum,Netral
Layanan aplikasi memiliki performa yang stabil bagi pengguna saat digunakan secara rutin,layanan aplikasi memiliki performa yang stabil bagi pengguna saat digunakan secara rutin,Positif
Sistem aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,sistem aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,Negatif
Platform digital ini bermasalah saat dijalankan bagi tim kerja di perangkat iOS,platform digital ini bermasalah saat dijalankan bagi tim kerja di perangkat ios,Negatif
Platform digital ini tidak responsif bagi tim kerja dalam kondisi normal,platform digital ini tidak responsif bagi tim kerja dalam kondisi normal,Negatif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi pada versi terbaru,aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi yang digunakan dapat digunakan bagi tim kerja di perangkat Android,aplikasi yang digunakan dapat digunakan bagi tim kerja di perangkat android,Netral
Platform digital ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,platform digital ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,Negatif
Sistem aplikasi tersedia di berbagai platform bagi saya dalam kondisi normal,sistem aplikasi tersedia di berbagai platform bagi saya dalam kondisi normal,Netral
Platform digital ini menyediakan menu utama bagi pengguna secara umum,platform digital ini menyediakan menu utama bagi pengguna secara umum,Netral
Platform digital ini sering mengalami error bagi pengguna aplikasi di perangkat iOS,platform digital ini sering mengalami error bagi pengguna aplikasi di perangkat ios,Negatif
Sistem aplikasi memiliki performa yang stabil bagi pengguna aplikasi,sistem aplikasi memiliki performa yang stabil bagi pengguna aplikasi,Positif
Aplikasi ini memberikan pengalaman yang memuaskan bagi pengguna pada versi terbaru,aplikasi ini memberikan pengalaman yang memuaskan bagi pengguna pada versi terbaru,Positif
Platform digital ini memudahkan pekerjaan bagi pengguna aplikasi secara umum,platform digital ini memudahkan pekerjaan bagi pengguna aplikasi secara umum,Positif
Aplikasi mobile ini memiliki banyak bug bagi pengguna secara umum,aplikasi mobile ini memiliki banyak bug bagi pengguna secara umum,Negatif
Aplikasi yang digunakan memudahkan pekerjaan bagi saya secara umum,aplikasi yang digunakan memudahkan pekerjaan bagi saya secara umum,Positif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya dalam penggunaan sehari-hari,aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya dalam penggunaan seharihari,Netral
Sistem aplikasi bermasalah saat dijalankan bagi pengguna lama secara umum,sistem aplikasi bermasalah saat dijalankan bagi pengguna lama secara umum,Negatif
Aplikasi ini menghambat pekerjaan bagi tim kerja di perangkat Android,aplikasi ini menghambat pekerjaan bagi tim kerja di perangkat android,Negatif
Aplikasi mobile ini tersedia untuk pengguna bagi saya di perangkat Android,aplikasi mobile ini tersedia untuk pengguna bagi saya di perangkat android,Netral
Aplikasi ini berjalan sangat lambat bagi tim kerja secara umum,aplikasi ini berjalan sangat lambat bagi tim kerja secara umum,Negatif
Aplikasi ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat Android,aplikasi ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat android,Netral
Platform digital ini memiliki tampilan standar bagi tim kerja dalam penggunaan sehari-hari,platform digital ini memiliki tampilan standar bagi tim kerja dalam penggunaan seharihari,Netral
Layanan aplikasi menyediakan layanan digital bagi pengguna aplikasi di perangkat iOS,layanan aplikasi menyediakan layanan digital bagi pengguna aplikasi di perangkat ios,Netral
Aplikasi ini sangat berguna bagi pengguna lama di perangkat iOS,aplikasi ini sangat berguna bagi pengguna lama di perangkat ios,Positif
Sistem aplikasi berjalan sangat lambat bagi pengguna saat digunakan secara rutin,sistem aplikasi berjalan sangat lambat bagi pengguna saat digunakan secara rutin,Negatif
Aplikasi mobile ini menghambat pekerjaan bagi pengguna aplikasi dalam kondisi normal,aplikasi mobile ini menghambat pekerjaan bagi pengguna aplikasi dalam kondisi normal,Negatif
Aplikasi ini memiliki performa yang stabil bagi pengguna aplikasi dalam penggunaan sehari-hari,aplikasi ini memiliki performa yang stabil bagi pengguna aplikasi dalam penggunaan seharihari,Positif
Aplikasi ini menyediakan menu utama bagi tim kerja di perangkat Android,aplikasi ini menyediakan menu utama bagi tim kerja di perangkat android,Netral
Platform digital ini sering mengalami gangguan bagi saya secara umum,platform digital ini sering mengalami gangguan bagi saya secara umum,Negatif
Aplikasi mobile ini berjalan sangat lambat bagi pengguna lama secara umum,aplikasi mobile ini berjalan sangat lambat bagi pengguna lama secara umum,Negatif
Layanan aplikasi bermasalah saat dijalankan bagi pengguna dalam penggunaan sehari-hari,layanan aplikasi bermasalah saat dijalankan bagi pengguna dalam penggunaan seharihari,Negatif
Aplikasi mobile ini sangat berguna bagi tim kerja dalam penggunaan sehari-hari,aplikasi mobile ini sangat berguna bagi tim kerja dalam penggunaan seharihari,Positif
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna lama,aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna lama,Positif
Aplikasi yang digunakan sering mengalami gangguan bagi saya,aplikasi yang digunakan sering mengalami gangguan bagi saya,Negatif
Platform digital ini meningkatkan produktivitas bagi pengguna baru pada versi terbaru,platform digital ini meningkatkan produktivitas bagi pengguna baru pada versi terbaru,Positif
Sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat iOS,sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat ios,Negatif
Aplikasi yang digunakan tersedia untuk pengguna bagi tim kerja,aplikasi yang digunakan tersedia untuk pengguna bagi tim kerja,Netral
Layanan aplikasi tersedia untuk pengguna bagi pengguna lama dalam penggunaan sehari-hari,layanan aplikasi tersedia untuk pengguna bagi pengguna lama dalam penggunaan seharihari,Netral
Aplikasi mobile ini sulit untuk digunakan bagi tim kerja dalam penggunaan sehari-hari,aplikasi mobile ini sulit untuk digunakan bagi tim kerja dalam penggunaan seharihari,Negatif
Aplikasi ini mudah digunakan bagi pengguna lama di perangkat Android,aplikasi ini mudah digunakan bagi pengguna lama di perangkat android,Positif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat iOS,aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat ios,Netral
Sistem aplikasi memudahkan pekerjaan bagi pengguna,sistem aplikasi memudahkan pekerjaan bagi pengguna,Positif
Aplikasi yang digunakan sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,aplikasi yang digunakan sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,Negatif
Platform digital ini memiliki banyak bug bagi pengguna aplikasi di perangkat Android,platform digital ini memiliki banyak bug bagi pengguna aplikasi di perangkat android,Negatif
Layanan aplikasi memiliki banyak bug bagi pengguna aplikasi secara umum,layanan aplikasi memiliki banyak bug bagi pengguna aplikasi secara umum,Negatif
Aplikasi ini sulit untuk digunakan bagi pengguna aplikasi dalam penggunaan sehari-hari,aplikasi ini sulit untuk digunakan bagi pengguna aplikasi dalam penggunaan seharihari,Negatif
Platform digital ini sangat membantu bagi saya pada versi terbaru,platform digital ini sangat membantu bagi saya pada versi terbaru,Positif
Sistem aplikasi menghambat pekerjaan bagi saya dalam kondisi normal,sistem aplikasi menghambat pekerjaan bagi saya dalam kondisi normal,Negatif
Aplikasi yang digunakan dapat digunakan bagi saya di perangkat iOS,aplikasi yang digunakan dapat digunakan bagi saya di perangkat ios,Netral
Aplikasi ini sulit untuk digunakan bagi pengguna secara umum,aplikasi ini sulit untuk digunakan bagi pengguna secara umum,Negatif
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja,aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja,Netral
Aplikasi yang digunakan menyediakan layanan digital bagi pengguna lama pada versi terbaru,aplikasi yang digunakan menyediakan layanan digital bagi pengguna lama pada versi terbaru,Netral
Platform digital ini memiliki tampilan standar bagi pengguna di perangkat Android,platform digital ini memiliki tampilan standar bagi pengguna di perangkat android,Netral
Platform digital ini menghambat pekerjaan bagi saya pada versi terbaru,platform digital ini menghambat pekerjaan bagi saya pada versi terbaru,Negatif
Platform digital ini memiliki tampilan standar bagi pengguna lama secara umum,platform digital ini memiliki tampilan standar bagi pengguna lama secara umum,Netral
Aplikasi mobile ini sering mengalami error bagi pengguna baru pada versi terbaru,aplikasi mobile ini sering mengalami error bagi pengguna baru pada versi terbaru,Negatif
Layanan aplikasi dapat digunakan bagi pengguna di perangkat Android,layanan aplikasi dapat digunakan bagi pengguna di perangkat android,Netral
Sistem aplikasi berjalan sangat lambat bagi pengguna aplikasi saat digunakan secara rutin,sistem aplikasi berjalan sangat lambat bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi mobile ini memudahkan pekerjaan bagi pengguna baru di perangkat iOS,aplikasi mobile ini memudahkan pekerjaan bagi pengguna baru di perangkat ios,Positif
Aplikasi mobile ini sangat berguna bagi tim kerja saat digunakan secara rutin,aplikasi mobile ini sangat berguna bagi tim kerja saat digunakan secara rutin,Positif
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna baru,aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna baru,Positif
Platform digital ini digunakan untuk kebutuhan tertentu bagi tim kerja,platform digital ini digunakan untuk kebutuhan tertentu bagi tim kerja,Netral
Aplikasi yang digunakan menyediakan layanan digital bagi tim kerja secara umum,aplikasi yang digunakan menyediakan layanan digital bagi tim kerja secara umum,Netral
Aplikasi yang digunakan sering mengalami error bagi pengguna baru,aplikasi yang digunakan sering mengalami error bagi pengguna baru,Negatif
Aplikasi ini mengecewakan pengguna bagi saya di perangkat iOS,aplikasi ini mengecewakan pengguna bagi saya di perangkat ios,Negatif
Sistem aplikasi menghambat pekerjaan bagi pengguna secara umum,sistem aplikasi menghambat pekerjaan bagi pengguna secara umum,Negatif
Layanan aplikasi memberikan pengalaman yang memuaskan bagi pengguna lama,layanan aplikasi memberikan pengalaman yang memuaskan bagi pengguna lama,Positif
Platform digital ini berjalan dengan sangat baik bagi pengguna secara umum,platform digital ini berjalan dengan sangat baik bagi pengguna secara umum,Positif
Sistem aplikasi memberikan pengalaman yang memuaskan bagi pengguna aplikasi pada versi terbaru,sistem aplikasi memberikan pengalaman yang memuaskan bagi pengguna aplikasi pada versi terbaru,Positif
Layanan aplikasi bermasalah saat dijalankan bagi tim kerja dalam kondisi normal,layanan aplikasi bermasalah saat dijalankan bagi tim kerja dalam kondisi normal,Negatif
Platform digital ini menghambat pekerjaan bagi tim kerja dalam penggunaan sehari-hari,platform digital ini menghambat pekerjaan bagi tim kerja dalam penggunaan seharihari,Negatif
Platform digital ini menyediakan layanan digital bagi tim kerja di perangkat Android,platform digital ini menyediakan layanan digital bagi tim kerja di perangkat android,Netral
Sistem aplikasi bermasalah saat dijalankan bagi saya saat digunakan secara rutin,sistem aplikasi bermasalah saat dijalankan bagi saya saat digunakan secara rutin,Negatif
Aplikasi ini tidak berjalan dengan baik bagi pengguna secara umum,aplikasi ini tidak berjalan dengan baik bagi pengguna secara umum,Negatif
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi tim kerja saat digunakan secara rutin,aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi tim kerja saat digunakan secara rutin,Positif
Aplikasi ini responsif saat dijalankan bagi pengguna aplikasi,aplikasi ini responsif saat dijalankan bagi pengguna aplikasi,Positif
Platform digital ini tidak responsif bagi tim kerja saat digunakan secara rutin,platform digital ini tidak responsif bagi tim kerja saat digunakan secara rutin,Negatif
Sistem aplikasi berjalan sangat lambat bagi pengguna lama dalam kondisi normal,sistem aplikasi berjalan sangat lambat bagi pengguna lama dalam kondisi normal,Negatif
Platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna lama dalam penggunaan sehari-hari,platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna lama dalam penggunaan seharihari,Netral
Aplikasi yang digunakan dapat digunakan bagi pengguna lama pada versi terbaru,aplikasi yang digunakan dapat digunakan bagi pengguna lama pada versi terbaru,Netral
Sistem aplikasi memudahkan pekerjaan bagi tim kerja dalam kondisi normal,sistem aplikasi memudahkan pekerjaan bagi tim kerja dalam kondisi normal,Positif
Sistem aplikasi meningkatkan produktivitas bagi pengguna aplikasi saat digunakan secara rutin,sistem aplikasi meningkatkan produktivitas bagi pengguna aplikasi saat digunakan secara rutin,Positif
Sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja saat digunakan secara rutin,sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja saat digunakan secara rutin,Positif
Sistem aplikasi berfungsi dengan optimal bagi pengguna aplikasi dalam kondisi normal,sistem aplikasi berfungsi dengan optimal bagi pengguna aplikasi dalam kondisi normal,Positif
Aplikasi mobile ini bermasalah saat dijalankan bagi pengguna aplikasi pada versi terbaru,aplikasi mobile ini bermasalah saat dijalankan bagi pengguna aplikasi pada versi terbaru,Negatif
Sistem aplikasi memiliki banyak bug bagi saya secara umum,sistem aplikasi memiliki banyak bug bagi saya secara umum,Negatif
Aplikasi mobile ini tersedia untuk pengguna bagi pengguna aplikasi pada versi terbaru,aplikasi mobile ini tersedia untuk pengguna bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi yang digunakan tersedia untuk pengguna bagi saya secara umum,aplikasi yang digunakan tersedia untuk pengguna bagi saya secara umum,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna lama saat digunakan secara rutin,aplikasi ini berjalan sangat lambat bagi pengguna lama saat digunakan secara rutin,Negatif
