kalimat,cleaned,hasil_label_transformer
Aplikasi mobile ini sering mengalami error bagi saya di perangkat Android,aplikasi mobile ini sering mengalami error bagi saya di perangkat android,Negatif
Aplikasi mobile ini memiliki performa yang stabil bagi pengguna baru pada versi terbaru,aplikasi mobile ini memiliki performa yang stabil bagi pengguna baru pada versi terbaru,Positif
Sistem aplikasi memiliki tampilan standar bagi pengguna dalam penggunaan sehari-hari,sistem aplikasi memiliki tampilan standar bagi pengguna dalam penggunaan seharihari,Netral
Aplikasi yang digunakan sering mengalami error bagi tim kerja saat digunakan secara rutin,aplikasi yang digunakan sering mengalami error bagi tim kerja saat digunakan secara rutin,Negatif
Layanan aplikasi sulit untuk digunakan bagi pengguna baru saat digunakan secara rutin,layanan aplikasi sulit untuk digunakan bagi pengguna baru saat digunakan secara rutin,Negatif
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi saat digunakan secara rutin,aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi saat digunakan secara rutin,Netral
Aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna dalam kondisi normal,aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna dalam kondisi normal,Negatif
Sistem aplikasi tersedia untuk pengguna bagi pengguna aplikasi di perangkat Android,sistem aplikasi tersedia untuk pengguna bagi pengguna aplikasi di perangkat android,Netral
Platform digital ini bermasalah saat dijalankan bagi pengguna lama,platform digital ini bermasalah saat dijalankan bagi pengguna lama,Negatif
Aplikasi mobile ini memiliki banyak bug bagi pengguna baru di perangkat iOS,aplikasi mobile ini memiliki banyak bug bagi pengguna baru di perangkat ios,Negatif
Platform digital ini digunakan oleh banyak pengguna bagi pengguna baru secara umum,platform digital ini digunakan oleh banyak pengguna bagi pengguna baru secara umum,Netral
Aplikasi yang digunakan menghambat pekerjaan bagi saya,aplikasi yang digunakan menghambat pekerjaan bagi saya,Negatif
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi saya dalam kondisi normal,sistem aplikasi digunakan untuk kebutuhan tertentu bagi saya dalam kondisi normal,Netral
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna baru saat digunakan secara rutin,aplikasi mobile ini tersedia di berbagai platform bagi pengguna baru saat digunakan secara rutin,Netral
Sistem aplikasi berjalan dengan sangat baik bagi pengguna aplikasi,sistem aplikasi berjalan dengan sangat baik bagi pengguna aplikasi,Positif
Sistem aplikasi memiliki banyak bug bagi pengguna pada versi terbaru,sistem aplikasi memiliki banyak bug bagi pengguna pada versi terbaru,Negatif
Sistem aplikasi memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat iOS,sistem aplikasi memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat ios,Positif
Platform digital ini digunakan oleh banyak pengguna bagi tim kerja saat digunakan secara rutin,platform digital ini digunakan oleh banyak pengguna bagi tim kerja saat digunakan secara rutin,Netral
Platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru,platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru,Positif
Sistem aplikasi menyediakan layanan digital bagi pengguna dalam kondisi normal,sistem aplikasi menyediakan layanan digital bagi pengguna dalam kondisi normal,Netral
Aplikasi ini sulit untuk digunakan bagi tim kerja secara umum,aplikasi ini sulit untuk digunakan bagi tim kerja secara umum,Negatif
Aplikasi mobile ini sulit untuk digunakan bagi pengguna secara umum,aplikasi mobile ini sulit untuk digunakan bagi pengguna secara umum,Negatif
Aplikasi mobile ini sangat membantu bagi pengguna lama pada versi terbaru,aplikasi mobile ini sangat membantu bagi pengguna lama pada versi terbaru,Positif
Aplikasi yang digunakan dapat digunakan bagi pengguna lama saat digunakan secara rutin,aplikasi yang digunakan dapat digunakan bagi pengguna lama saat digunakan secara rutin,Netral
Aplikasi mobile ini berjalan dengan sangat baik bagi pengguna lama,aplikasi mobile ini berjalan dengan sangat baik bagi pengguna lama,Positif
Aplikasi yang digunakan tersedia di berbagai platform bagi pengguna baru,aplikasi yang digunakan tersedia di berbagai platform bagi pengguna baru,Netral
Platform digital ini bermasalah saat dijalankan bagi pengguna pada versi terbaru,platform digital ini bermasalah saat dijalankan bagi pengguna pada versi terbaru,Negatif
Aplikasi ini meningkatkan produktivitas bagi pengguna baru saat digunakan secara rutin,aplikasi ini meningkatkan produktivitas bagi pengguna baru saat digunakan secara rutin,Positif
Layanan aplikasi menyediakan menu utama bagi tim kerja dalam kondisi normal,layanan aplikasi menyediakan menu utama bagi tim kerja dalam kondisi normal,Netral
Aplikasi ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat Android,aplikasi ini digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat android,Netral
Sistem aplikasi memudahkan pekerjaan bagi pengguna di perangkat Android,sistem aplikasi memudahkan pekerjaan bagi pengguna di perangkat android,Positif
Platform digital ini dapat digunakan bagi tim kerja,platform digital ini dapat digunakan bagi tim kerja,Netral
Aplikasi ini memudahkan pekerjaan bagi saya dalam penggunaan sehari-hari,aplikasi ini memudahkan pekerjaan bagi saya dalam penggunaan seharihari,Positif
Aplikasi yang digunakan tidak responsif bagi tim kerja di perangkat Android,aplikasi yang digunakan tidak responsif bagi tim kerja di perangkat android,Negatif
Aplikasi yang digunakan memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,aplikasi yang digunakan memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,Positif
Aplikasi ini bermasalah saat dijalankan bagi pengguna lama di perangkat Android,aplikasi ini bermasalah saat dijalankan bagi pengguna lama di perangkat android,Negatif
Layanan aplikasi sering mengalami gangguan bagi pengguna baru pada versi terbaru,layanan aplikasi sering mengalami gangguan bagi pengguna baru pada versi terbaru,Negatif
Layanan aplikasi berjalan sangat lambat bagi pengguna dalam penggunaan sehari-hari,layanan aplikasi berjalan sangat lambat bagi pengguna dalam penggunaan seharihari,Negatif
Platform digital ini memiliki tampilan standar bagi saya dalam penggunaan sehari-hari,platform digital ini memiliki tampilan standar bagi saya dalam penggunaan seharihari,Netral
Aplikasi yang digunakan sulit untuk digunakan bagi pengguna lama di perangkat iOS,aplikasi yang digunakan sulit untuk digunakan bagi pengguna lama di perangkat ios,Negatif
Aplikasi yang digunakan sangat membantu bagi pengguna lama pada versi terbaru,aplikasi yang digunakan sangat membantu bagi pengguna lama pada versi terbaru,Positif
Sistem aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,sistem aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,Positif
Layanan aplikasi menyediakan menu utama bagi pengguna lama saat digunakan secara rutin,layanan aplikasi menyediakan menu utama bagi pengguna lama saat digunakan secara rutin,Netral
Aplikasi ini berjalan sangat lambat bagi tim kerja secara umum,aplikasi ini berjalan sangat lambat bagi tim kerja secara umum,Negatif
Aplikasi yang digunakan sangat berguna bagi pengguna aplikasi,aplikasi yang digunakan sangat berguna bagi pengguna aplikasi,Positif
Aplikasi yang digunakan mengecewakan pengguna bagi pengguna aplikasi saat digunakan secara rutin,aplikasi yang digunakan mengecewakan pengguna bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna aplikasi,aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna aplikasi,Positif
Aplikasi ini berfungsi dengan optimal bagi pengguna baru dalam penggunaan sehari-hari,aplikasi ini berfungsi dengan optimal bagi pengguna baru dalam penggunaan seharihari,Positif
Aplikasi mobile ini digunakan oleh banyak pengguna bagi pengguna secara umum,aplikasi mobile ini digunakan oleh banyak pengguna bagi pengguna secara umum,Netral
Sistem aplikasi tidak responsif bagi saya,sistem aplikasi tidak responsif bagi saya,Negatif
Sistem aplikasi berjalan dengan sangat baik bagi pengguna aplikasi di perangkat Android,sistem aplikasi berjalan dengan sangat baik bagi pengguna aplikasi di perangkat android,Positif
Sistem aplikasi berjalan sangat lambat bagi pengguna secara umum,sistem aplikasi berjalan sangat lambat bagi pengguna secara umum,Negatif
Sistem aplikasi memudahkan pekerjaan bagi pengguna lama dalam kondisi normal,sistem aplikasi memudahkan pekerjaan bagi pengguna lama dalam kondisi normal,Positif
Platform digital ini menyediakan menu utama bagi saya dalam kondisi normal,platform digital ini menyediakan menu utama bagi saya dalam kondisi normal,Netral
Sistem aplikasi sangat berguna bagi saya,sistem aplikasi sangat berguna bagi saya,Positif
Sistem aplikasi menyediakan layanan digital bagi tim kerja di perangkat iOS,sistem aplikasi menyediakan layanan digital bagi tim kerja di perangkat ios,Netral
Aplikasi ini menyediakan menu utama bagi saya pada versi terbaru,aplikasi ini menyediakan menu utama bagi saya pada versi terbaru,Netral
Platform digital ini bermasalah saat dijalankan bagi pengguna baru di perangkat iOS,platform digital ini bermasalah saat dijalankan bagi pengguna baru di perangkat ios,Negatif
Sistem aplikasi memudahkan pekerjaan bagi pengguna secara umum,sistem aplikasi memudahkan pekerjaan bagi pengguna secara umum,Positif
Aplikasi yang digunakan berfungsi dengan optimal bagi pengguna lama,aplikasi yang digunakan berfungsi dengan optimal bagi pengguna lama,Positif
Layanan aplikasi memiliki beberapa fitur bagi saya saat digunakan secara rutin,layanan aplikasi memiliki beberapa fitur bagi saya saat digunakan secara rutin,Netral
Aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna lama,aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna lama,Negatif
Aplikasi ini menyediakan menu utama bagi pengguna lama dalam kondisi normal,aplikasi ini menyediakan menu utama bagi pengguna lama dalam kondisi normal,Netral
Sistem aplikasi dapat digunakan bagi pengguna pada versi terbaru,sistem aplikasi dapat digunakan bagi pengguna pada versi terbaru,Netral
Aplikasi yang digunakan dapat digunakan bagi saya secara umum,aplikasi yang digunakan dapat digunakan bagi saya secara umum,Netral
Layanan aplikasi berjalan sesuai fungsi dasar bagi pengguna aplikasi saat digunakan secara rutin,layanan aplikasi berjalan sesuai fungsi dasar bagi pengguna aplikasi saat digunakan secara rutin,Netral
Aplikasi ini memiliki performa yang stabil bagi tim kerja,aplikasi ini memiliki performa yang stabil bagi tim kerja,Positif
Aplikasi ini memiliki performa yang stabil bagi pengguna di perangkat Android,aplikasi ini memiliki performa yang stabil bagi pengguna di perangkat android,Positif
Aplikasi yang digunakan berjalan sangat lambat bagi pengguna lama dalam kondisi normal,aplikasi yang digunakan berjalan sangat lambat bagi pengguna lama dalam kondisi normal,Negatif
Layanan aplikasi berjalan dengan sangat baik bagi tim kerja saat digunakan secara rutin,layanan aplikasi berjalan dengan sangat baik bagi tim kerja saat digunakan secara rutin,Positif
Aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna lama secara umum,aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna lama secara umum,Negatif
Platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna saat digunakan secara rutin,platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna saat digunakan secara rutin,Netral
Layanan aplikasi berjalan sangat lambat bagi saya secara umum,layanan aplikasi berjalan sangat lambat bagi saya secara umum,Negatif
Aplikasi yang digunakan meningkatkan produktivitas bagi pengguna baru pada versi terbaru,aplikasi yang digunakan meningkatkan produktivitas bagi pengguna baru pada versi terbaru,Positif
Aplikasi ini menyediakan menu utama bagi pengguna baru,aplikasi ini menyediakan menu utama bagi pengguna baru,Netral
Layanan aplikasi sulit untuk digunakan bagi tim kerja pada versi terbaru,layanan aplikasi sulit untuk digunakan bagi tim kerja pada versi terbaru,Negatif
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna lama,sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna lama,Netral
Aplikasi mobile ini bermasalah saat dijalankan bagi pengguna lama,aplikasi mobile ini bermasalah saat dijalankan bagi pengguna lama,Negatif
Aplikasi mobile ini memudahkan pekerjaan bagi pengguna baru pada versi terbaru,aplikasi mobile ini memudahkan pekerjaan bagi pengguna baru pada versi terbaru,Positif
Platform digital ini sangat berguna bagi pengguna aplikasi,platform digital ini sangat berguna bagi pengguna aplikasi,Positif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi secara umum,aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi secara umum,Netral
Aplikasi yang digunakan berjalan sangat lambat bagi pengguna aplikasi pada versi terbaru,aplikasi yang digunakan berjalan sangat lambat bagi pengguna aplikasi pada versi terbaru,Negatif
Layanan aplikasi memiliki banyak bug bagi pengguna lama di perangkat iOS,layanan aplikasi memiliki banyak bug bagi pengguna lama di perangkat ios,Negatif
Aplikasi mobile ini memiliki beberapa fitur bagi pengguna aplikasi saat digunakan secara rutin,aplikasi mobile ini memiliki beberapa fitur bagi pengguna aplikasi saat digunakan secara rutin,Netral
Sistem aplikasi tidak responsif bagi pengguna baru pada versi terbaru,sistem aplikasi tidak responsif bagi pengguna baru pada versi terbaru,Negatif
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi pengguna baru di perangkat Android,aplikasi mobile ini berjalan sesuai fungsi dasar bagi pengguna baru di perangkat android,Netral
Platform digital ini sangat membantu bagi pengguna lama secara umum,platform digital ini sangat membantu bagi pengguna lama secara umum,Positif
Platform digital ini berjalan sesuai fungsi dasar bagi tim kerja saat digunakan secara rutin,platform digital ini berjalan sesuai fungsi dasar bagi tim kerja saat digunakan secara rutin,Netral
Layanan aplikasi digunakan oleh banyak pengguna bagi pengguna pada versi terbaru,layanan aplikasi digunakan oleh banyak pengguna bagi pengguna pada versi terbaru,Netral
Sistem aplikasi sulit untuk digunakan bagi pengguna aplikasi,sistem aplikasi sulit untuk digunakan bagi pengguna aplikasi,Negatif
Layanan aplikasi sering mengalami gangguan bagi saya pada versi terbaru,layanan aplikasi sering mengalami gangguan bagi saya pada versi terbaru,Negatif
Aplikasi mobile ini sering mengalami error bagi pengguna aplikasi pada versi terbaru,aplikasi mobile ini sering mengalami error bagi pengguna aplikasi pada versi terbaru,Negatif
Platform digital ini tidak berjalan dengan baik bagi pengguna aplikasi secara umum,platform digital ini tidak berjalan dengan baik bagi pengguna aplikasi secara umum,Negatif
Aplikasi mobile ini digunakan oleh banyak pengguna bagi tim kerja saat digunakan secara rutin,aplikasi mobile ini digunakan oleh banyak pengguna bagi tim kerja saat digunakan secara rutin,Netral
Aplikasi mobile ini sering mengalami gangguan bagi tim kerja dalam penggunaan sehari-hari,aplikasi mobile ini sering mengalami gangguan bagi tim kerja dalam penggunaan seharihari,Negatif
Aplikasi ini tidak responsif bagi pengguna baru di perangkat iOS,aplikasi ini tidak responsif bagi pengguna baru di perangkat ios,Negatif
Aplikasi mobile ini sangat berguna bagi pengguna lama di perangkat Android,aplikasi mobile ini sangat berguna bagi pengguna lama di perangkat android,Positif
Sistem aplikasi tidak responsif bagi pengguna lama pada versi terbaru,sistem aplikasi tidak responsif bagi pengguna lama pada versi terbaru,Negatif
Sistem aplikasi mudah digunakan bagi pengguna aplikasi di perangkat iOS,sistem aplikasi mudah digunakan bagi pengguna aplikasi di perangkat ios,Positif
Aplikasi mobile ini dapat digunakan bagi pengguna lama pada versi terbaru,aplikasi mobile ini dapat digunakan bagi pengguna lama pada versi terbaru,Netral
Layanan aplikasi dapat digunakan bagi pengguna baru saat digunakan secara rutin,layanan aplikasi dapat digunakan bagi pengguna baru saat digunakan secara rutin,Netral
Aplikasi mobile ini tersedia untuk pengguna bagi tim kerja secara umum,aplikasi mobile ini tersedia untuk pengguna bagi tim kerja secara umum,Netral
Layanan aplikasi berjalan dengan sangat baik bagi pengguna pada versi terbaru,layanan aplikasi berjalan dengan sangat baik bagi pengguna pada versi terbaru,Positif
Aplikasi ini dapat digunakan bagi tim kerja di perangkat iOS,aplikasi ini dapat digunakan bagi tim kerja di perangkat ios,Netral
Aplikasi yang digunakan mudah digunakan bagi tim kerja dalam kondisi normal,aplikasi yang digunakan mudah digunakan bagi tim kerja dalam kondisi normal,Positif
Layanan aplikasi dapat digunakan bagi pengguna,layanan aplikasi dapat digunakan bagi pengguna,Netral
Aplikasi yang digunakan memiliki banyak bug bagi pengguna lama di perangkat iOS,aplikasi yang digunakan memiliki banyak bug bagi pengguna lama di perangkat ios,Negatif
Platform digital ini responsif saat dijalankan bagi pengguna aplikasi dalam kondisi normal,platform digital ini responsif saat dijalankan bagi pengguna aplikasi dalam kondisi normal,Positif
Sistem aplikasi tidak berjalan dengan baik bagi pengguna dalam penggunaan sehari-hari,sistem aplikasi tidak berjalan dengan baik bagi pengguna dalam penggunaan seharihari,Negatif
Aplikasi mobile ini tidak berjalan dengan baik bagi saya,aplikasi mobile ini tidak berjalan dengan baik bagi saya,Negatif
Platform digital ini mudah digunakan bagi pengguna lama saat digunakan secara rutin,platform digital ini mudah digunakan bagi pengguna lama saat digunakan secara rutin,Positif
Sistem aplikasi memiliki tampilan standar bagi pengguna aplikasi secara umum,sistem aplikasi memiliki tampilan standar bagi pengguna aplikasi secara umum,Netral
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama dalam kondisi normal,aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama dalam kondisi normal,Netral
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna lama pada versi terbaru,aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna lama pada versi terbaru,Netral
Sistem aplikasi responsif saat dijalankan bagi saya pada versi terbaru,sistem aplikasi responsif saat dijalankan bagi saya pada versi terbaru,Positif
Sistem aplikasi tidak berjalan dengan baik bagi pengguna baru saat digunakan secara rutin,sistem aplikasi tidak berjalan dengan baik bagi pengguna baru saat digunakan secara rutin,Negatif
Aplikasi ini berjalan dengan sangat baik bagi pengguna lama dalam kondisi normal,aplikasi ini berjalan dengan sangat baik bagi pengguna lama dalam kondisi normal,Positif
Layanan aplikasi sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,layanan aplikasi sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,Negatif
Sistem aplikasi menyediakan layanan digital bagi tim kerja secara umum,sistem aplikasi menyediakan layanan digital bagi tim kerja secara umum,Netral
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna baru,aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna baru,Netral
Layanan aplikasi tidak berjalan dengan baik bagi saya di perangkat iOS,layanan aplikasi tidak berjalan dengan baik bagi saya di perangkat ios,Negatif
Platform digital ini sangat membantu bagi pengguna dalam kondisi normal,platform digital ini sangat membantu bagi pengguna dalam kondisi normal,Positif
Layanan aplikasi tidak berjalan dengan baik bagi pengguna baru di perangkat Android,layanan aplikasi tidak berjalan dengan baik bagi pengguna baru di perangkat android,Negatif
Layanan aplikasi berjalan sangat lambat bagi pengguna dalam penggunaan sehari-hari,layanan aplikasi berjalan sangat lambat bagi pengguna dalam penggunaan seharihari,Negatif
Sistem aplikasi mengecewakan pengguna bagi tim kerja,sistem aplikasi mengecewakan pengguna bagi tim kerja,Negatif
Sistem aplikasi memiliki banyak bug bagi pengguna pada versi terbaru,sistem aplikasi memiliki banyak bug bagi pengguna pada versi terbaru,Negatif
Platform digital ini memiliki performa yang stabil bagi pengguna lama secara umum,platform digital ini memiliki performa yang stabil bagi pengguna lama secara umum,Positif
Platform digital ini berjalan sangat lambat bagi pengguna dalam kondisi normal,platform digital ini berjalan sangat lambat bagi pengguna dalam kondisi normal,Negatif
Aplikasi ini menghambat pekerjaan bagi tim kerja di perangkat Android,aplikasi ini menghambat pekerjaan bagi tim kerja di perangkat android,Negatif
Sistem aplikasi memiliki banyak bug bagi pengguna lama pada versi terbaru,sistem aplikasi memiliki banyak bug bagi pengguna lama pada versi terbaru,Negatif
Platform digital ini tidak responsif bagi saya di perangkat iOS,platform digital ini tidak responsif bagi saya di perangkat ios,Negatif
Layanan aplikasi tersedia untuk pengguna bagi tim kerja pada versi terbaru,layanan aplikasi tersedia untuk pengguna bagi tim kerja pada versi terbaru,Netral
Aplikasi mobile ini memudahkan pekerjaan bagi saya secara umum,aplikasi mobile ini memudahkan pekerjaan bagi saya secara umum,Positif
Sistem aplikasi memiliki banyak bug bagi pengguna lama saat digunakan secara rutin,sistem aplikasi memiliki banyak bug bagi pengguna lama saat digunakan secara rutin,Negatif
