kalimat,cleaned,hasil_label_transformer
Aplikasi mobile ini bermasalah saat dijalankan bagi tim kerja dalam kondisi normal,aplikasi mobile ini bermasalah saat dijalankan bagi tim kerja dalam kondisi normal,Negatif
Layanan aplikasi berjalan dengan sangat baik bagi pengguna dalam penggunaan sehari-hari,layanan aplikasi berjalan dengan sangat baik bagi pengguna dalam penggunaan seharihari,Positif
Aplikasi mobile ini memiliki beberapa fitur bagi pengguna lama,aplikasi mobile ini memiliki beberapa fitur bagi pengguna lama,Netral
Layanan aplikasi tidak berjalan dengan baik bagi pengguna baru saat digunakan secara rutin,layanan aplikasi tidak berjalan dengan baik bagi pengguna baru saat digunakan secara rutin,Negatif
Sistem aplikasi menyediakan layanan digital bagi tim kerja secara umum,sistem aplikasi menyediakan layanan digital bagi tim kerja secara umum,Netral
Aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat iOS,aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat ios,Negatif
Layanan aplikasi sering mengalami error bagi tim kerja,layanan aplikasi sering mengalami error bagi tim kerja,Negatif
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna lama,aplikasi yang digunakan menghambat pekerjaan bagi pengguna lama,Negatif
Aplikasi ini berjalan sangat lambat bagi pengguna lama pada versi terbaru,aplikasi ini berjalan sangat lambat bagi pengguna lama pada versi terbaru,Negatif
Platform digital ini menghambat pekerjaan bagi pengguna lama dalam penggunaan sehari-hari,platform digital ini menghambat pekerjaan bagi pengguna lama dalam penggunaan seharihari,Negatif
Layanan aplikasi mengecewakan pengguna bagi pengguna lama di perangkat Android,layanan aplikasi mengecewakan pengguna bagi pengguna lama di perangkat android,Negatif
Aplikasi yang digunakan berjalan dengan sangat baik bagi tim kerja,aplikasi yang digunakan berjalan dengan sangat baik bagi tim kerja,Positif
Aplikasi mobile ini tidak responsif bagi pengguna aplikasi dalam kondisi normal,aplikasi mobile ini tidak responsif bagi pengguna aplikasi dalam kondisi normal,Negatif
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi di perangkat Android,aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi di perangkat android,Netral
Aplikasi ini menghambat pekerjaan bagi pengguna aplikasi pada versi terbaru,aplikasi ini menghambat pekerjaan bagi pengguna aplikasi pada versi terbaru,Negatif
Aplikasi mobile ini sangat membantu bagi saya secara umum,aplikasi mobile ini sangat membantu bagi saya secara umum,Positif
Platform digital ini memiliki performa yang stabil bagi saya di perangkat Android,platform digital ini memiliki performa yang stabil bagi saya di perangkat android,Positif
Platform digital ini tidak responsif bagi tim kerja,platform digital ini tidak responsif bagi tim kerja,Negatif
Aplikasi yang digunakan menyediakan menu utama bagi pengguna saat digunakan secara rutin,aplikasi yang digunakan menyediakan menu utama bagi pengguna saat digunakan secara rutin,Netral
Layanan aplikasi mudah digunakan bagi tim kerja secara umum,layanan aplikasi mudah digunakan bagi tim kerja secara umum,Positif
Aplikasi yang digunakan mengecewakan pengguna bagi tim kerja dalam kondisi normal,aplikasi yang digunakan mengecewakan pengguna bagi tim kerja dalam kondisi normal,Negatif
Sistem aplikasi sangat berguna bagi saya secara umum,sistem aplikasi sangat berguna bagi saya secara umum,Positif
Layanan aplikasi berjalan sangat lambat bagi pengguna aplikasi di perangkat iOS,layanan aplikasi berjalan sangat lambat bagi pengguna aplikasi di perangkat ios,Negatif
Layanan aplikasi mengecewakan pengguna bagi pengguna baru di perangkat Android,layanan aplikasi mengecewakan pengguna bagi pengguna baru di perangkat android,Negatif
Sistem aplikasi memiliki banyak bug bagi pengguna lama di perangkat Android,sistem aplikasi memiliki banyak bug bagi pengguna lama di perangkat android,Negatif
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat Android,sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna lama di perangkat android,Netral
Aplikasi yang digunakan memiliki beberapa fitur bagi saya secara umum,aplikasi yang digunakan memiliki beberapa fitur bagi saya secara umum,Netral
Platform digital ini berjalan sangat lambat bagi tim kerja di perangkat iOS,platform digital ini berjalan sangat lambat bagi tim kerja di perangkat ios,Negatif
Sistem aplikasi memudahkan pekerjaan bagi tim kerja dalam kondisi normal,sistem aplikasi memudahkan pekerjaan bagi tim kerja dalam kondisi normal,Positif
Platform digital ini tersedia di berbagai platform bagi pengguna lama saat digunakan secara rutin,platform digital ini tersedia di berbagai platform bagi pengguna lama saat digunakan secara rutin,Netral
Sistem aplikasi berjalan dengan sangat baik bagi pengguna lama pada versi terbaru,sistem aplikasi berjalan dengan sangat baik bagi pengguna lama pada versi terbaru,Positif
Sistem aplikasi menyediakan layanan digital bagi saya di perangkat iOS,sistem aplikasi menyediakan layanan digital bagi saya di perangkat ios,Netral
Aplikasi yang digunakan mengecewakan pengguna bagi pengguna baru di perangkat Android,aplikasi yang digunakan mengecewakan pengguna bagi pengguna baru di perangkat android,Negatif
Layanan aplikasi meningkatkan produktivitas bagi tim kerja di perangkat iOS,layanan aplikasi meningkatkan produktivitas bagi tim kerja di perangkat ios,Positif
Aplikasi mobile ini memudahkan pekerjaan bagi tim kerja di perangkat Android,aplikasi mobile ini memudahkan pekerjaan bagi tim kerja di perangkat android,Positif
Aplikasi mobile ini berjalan dengan sangat baik bagi pengguna aplikasi di perangkat Android,aplikasi mobile ini berjalan dengan sangat baik bagi pengguna aplikasi di perangkat android,Positif
Aplikasi yang digunakan responsif saat dijalankan bagi pengguna pada versi terbaru,aplikasi yang digunakan responsif saat dijalankan bagi pengguna pada versi terbaru,Positif
Platform digital ini sering mengalami error bagi pengguna aplikasi,platform digital ini sering mengalami error bagi pengguna aplikasi,Negatif
Aplikasi ini tersedia untuk pengguna bagi pengguna baru dalam penggunaan sehari-hari,aplikasi ini tersedia untuk pengguna bagi pengguna baru dalam penggunaan seharihari,Netral
Layanan aplikasi menyediakan layanan digital bagi pengguna baru dalam kondisi normal,layanan aplikasi menyediakan layanan digital bagi pengguna baru dalam kondisi normal,Netral
Aplikasi yang digunakan menyediakan layanan digital bagi saya,aplikasi yang digunakan menyediakan layanan digital bagi saya,Netral
Aplikasi yang digunakan mudah digunakan bagi pengguna lama secara umum,aplikasi yang digunakan mudah digunakan bagi pengguna lama secara umum,Positif
Sistem aplikasi dapat digunakan bagi pengguna pada versi terbaru,sistem aplikasi dapat digunakan bagi pengguna pada versi terbaru,Netral
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna baru dalam penggunaan sehari-hari,aplikasi yang digunakan menghambat pekerjaan bagi pengguna baru dalam penggunaan seharihari,Negatif
Aplikasi mobile ini sering mengalami gangguan bagi pengguna baru dalam penggunaan sehari-hari,aplikasi mobile ini sering mengalami gangguan bagi pengguna baru dalam penggunaan seharihari,Negatif
Platform digital ini berjalan sesuai fungsi dasar bagi saya saat digunakan secara rutin,platform digital ini berjalan sesuai fungsi dasar bagi saya saat digunakan secara rutin,Netral
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama dalam penggunaan sehari-hari,aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama dalam penggunaan seharihari,Netral
Aplikasi ini berfungsi dengan optimal bagi tim kerja pada versi terbaru,aplikasi ini berfungsi dengan optimal bagi tim kerja pada versi terbaru,Positif
Sistem aplikasi berfungsi dengan optimal bagi saya,sistem aplikasi berfungsi dengan optimal bagi saya,Positif
Aplikasi mobile ini memiliki tampilan standar bagi tim kerja,aplikasi mobile ini memiliki tampilan standar bagi tim kerja,Netral
Sistem aplikasi mudah digunakan bagi pengguna secara umum,sistem aplikasi mudah digunakan bagi pengguna secara umum,Positif
Aplikasi mobile ini menyediakan menu utama bagi saya di perangkat iOS,aplikasi mobile ini menyediakan menu utama bagi saya di perangkat ios,Netral
Aplikasi yang digunakan sangat berguna bagi pengguna secara umum,aplikasi yang digunakan sangat berguna bagi pengguna secara umum,Positif
Sistem aplikasi menghambat pekerjaan bagi pengguna aplikasi di perangkat Android,sistem aplikasi menghambat pekerjaan bagi pengguna aplikasi di perangkat android,Negatif
Aplikasi mobile ini bermasalah saat dijalankan bagi pengguna aplikasi dalam kondisi normal,aplikasi mobile ini bermasalah saat dijalankan bagi pengguna aplikasi dalam kondisi normal,Negatif
Platform digital ini tidak responsif bagi pengguna lama pada versi terbaru,platform digital ini tidak responsif bagi pengguna lama pada versi terbaru,Negatif
Platform digital ini tersedia untuk pengguna bagi pengguna saat digunakan secara rutin,platform digital ini tersedia untuk pengguna bagi pengguna saat digunakan secara rutin,Netral
Aplikasi mobile ini mengecewakan pengguna bagi pengguna lama di perangkat Android,aplikasi mobile ini mengecewakan pengguna bagi pengguna lama di perangkat android,Negatif
Aplikasi ini meningkatkan produktivitas bagi saya di perangkat Android,aplikasi ini meningkatkan produktivitas bagi saya di perangkat android,Positif
Platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna lama secara umum,platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna lama secara umum,Netral
Sistem aplikasi menghambat pekerjaan bagi pengguna aplikasi dalam penggunaan sehari-hari,sistem aplikasi menghambat pekerjaan bagi pengguna aplikasi dalam penggunaan seharihari,Negatif
Sistem aplikasi dapat digunakan bagi pengguna lama di perangkat Android,sistem aplikasi dapat digunakan bagi pengguna lama di perangkat android,Netral
Aplikasi ini tersedia untuk pengguna bagi pengguna,aplikasi ini tersedia untuk pengguna bagi pengguna,Netral
Sistem aplikasi sangat berguna bagi saya di perangkat iOS,sistem aplikasi sangat berguna bagi saya di perangkat ios,Positif
Aplikasi yang digunakan memudahkan pekerjaan bagi pengguna aplikasi di perangkat iOS,aplikasi yang digunakan memudahkan pekerjaan bagi pengguna aplikasi di perangkat ios,Positif
Sistem aplikasi bermasalah saat dijalankan bagi pengguna baru di perangkat Android,sistem aplikasi bermasalah saat dijalankan bagi pengguna baru di perangkat android,Negatif
Aplikasi mobile ini mengecewakan pengguna bagi pengguna baru,aplikasi mobile ini mengecewakan pengguna bagi pengguna baru,Negatif
Aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna lama dalam kondisi normal,aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna lama dalam kondisi normal,Negatif
Aplikasi yang digunakan memiliki banyak bug bagi saya di perangkat Android,aplikasi yang digunakan memiliki banyak bug bagi saya di perangkat android,Negatif
Aplikasi mobile ini tersedia untuk pengguna bagi tim kerja pada versi terbaru,aplikasi mobile ini tersedia untuk pengguna bagi tim kerja pada versi terbaru,Netral
Layanan aplikasi tidak berjalan dengan baik bagi tim kerja secara umum,layanan aplikasi tidak berjalan dengan baik bagi tim kerja secara umum,Negatif
Aplikasi ini menyediakan layanan digital bagi tim kerja pada versi terbaru,aplikasi ini menyediakan layanan digital bagi tim kerja pada versi terbaru,Netral
Aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat Android,aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat android,Netral
Layanan aplikasi memiliki banyak bug bagi pengguna baru saat digunakan secara rutin,layanan aplikasi memiliki banyak bug bagi pengguna baru saat digunakan secara rutin,Negatif
Sistem aplikasi memiliki tampilan standar bagi tim kerja,sistem aplikasi memiliki tampilan standar bagi tim kerja,Netral
Aplikasi ini tersedia untuk pengguna bagi pengguna baru,aplikasi ini tersedia untuk pengguna bagi pengguna baru,Netral
Aplikasi ini digunakan oleh banyak pengguna bagi tim kerja,aplikasi ini digunakan oleh banyak pengguna bagi tim kerja,Netral
Aplikasi ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,aplikasi ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,Negatif
Platform digital ini menghambat pekerjaan bagi pengguna,platform digital ini menghambat pekerjaan bagi pengguna,Negatif
Aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna lama dalam penggunaan sehari-hari,aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna lama dalam penggunaan seharihari,Netral
Platform digital ini meningkatkan produktivitas bagi pengguna di perangkat Android,platform digital ini meningkatkan produktivitas bagi pengguna di perangkat android,Positif
Layanan aplikasi memberikan pengalaman yang memuaskan bagi pengguna dalam kondisi normal,layanan aplikasi memberikan pengalaman yang memuaskan bagi pengguna dalam kondisi normal,Positif
Sistem aplikasi memiliki beberapa fitur bagi pengguna dalam penggunaan sehari-hari,sistem aplikasi memiliki beberapa fitur bagi pengguna dalam penggunaan seharihari,Netral
Aplikasi ini menyediakan layanan digital bagi saya dalam penggunaan sehari-hari,aplikasi ini menyediakan layanan digital bagi saya dalam penggunaan seharihari,Netral
Sistem aplikasi sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,sistem aplikasi sering mengalami gangguan bagi pengguna baru saat digunakan secara rutin,Negatif
Aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,Netral
Sistem aplikasi digunakan oleh banyak pengguna bagi saya,sistem aplikasi digunakan oleh banyak pengguna bagi saya,Netral
Platform digital ini sulit untuk digunakan bagi pengguna saat digunakan secara rutin,platform digital ini sulit untuk digunakan bagi pengguna saat digunakan secara rutin,Negatif
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,Netral
Aplikasi mobile ini memiliki banyak bug bagi saya saat digunakan secara rutin,aplikasi mobile ini memiliki banyak bug bagi saya saat digunakan secara rutin,Negatif
Aplikasi yang digunakan responsif saat dijalankan bagi pengguna dalam penggunaan sehari-hari,aplikasi yang digunakan responsif saat dijalankan bagi pengguna dalam penggunaan seharihari,Positif
Sistem aplikasi tidak berjalan dengan baik bagi pengguna aplikasi dalam kondisi normal,sistem aplikasi tidak berjalan dengan baik bagi pengguna aplikasi dalam kondisi normal,Negatif
Layanan aplikasi sulit untuk digunakan bagi pengguna baru di perangkat Android,layanan aplikasi sulit untuk digunakan bagi pengguna baru di perangkat android,Negatif
Platform digital ini berjalan sangat lambat bagi pengguna baru di perangkat iOS,platform digital ini berjalan sangat lambat bagi pengguna baru di perangkat ios,Negatif
Aplikasi mobile ini menyediakan layanan digital bagi pengguna aplikasi pada versi terbaru,aplikasi mobile ini menyediakan layanan digital bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi dalam kondisi normal,aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi dalam kondisi normal,Netral
Layanan aplikasi digunakan untuk kebutuhan tertentu bagi pengguna di perangkat Android,layanan aplikasi digunakan untuk kebutuhan tertentu bagi pengguna di perangkat android,Netral
Aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna dalam penggunaan sehari-hari,aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna dalam penggunaan seharihari,Positif
Platform digital ini bermasalah saat dijalankan bagi pengguna aplikasi dalam penggunaan sehari-hari,platform digital ini bermasalah saat dijalankan bagi pengguna aplikasi dalam penggunaan seharihari,Negatif
Aplikasi mobile ini menyediakan menu utama bagi pengguna dalam kondisi normal,aplikasi mobile ini menyediakan menu utama bagi pengguna dalam kondisi normal,Netral
Platform digital ini responsif saat dijalankan bagi tim kerja di perangkat Android,platform digital ini responsif saat dijalankan bagi tim kerja di perangkat android,Positif
Aplikasi ini memiliki performa yang stabil bagi tim kerja di perangkat iOS,aplikasi ini memiliki performa yang stabil bagi tim kerja di perangkat ios,Positif
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi secara umum,aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi secara umum,Netral
Layanan aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,layanan aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,Negatif
Aplikasi mobile ini berfungsi dengan optimal bagi pengguna baru di perangkat Android,aplikasi mobile ini berfungsi dengan optimal bagi pengguna baru di perangkat android,Positif
Platform digital ini berfungsi dengan optimal bagi pengguna lama dalam penggunaan sehari-hari,platform digital ini berfungsi dengan optimal bagi pengguna lama dalam penggunaan seharihari,Positif
Layanan aplikasi menghambat pekerjaan bagi pengguna aplikasi saat digunakan secara rutin,layanan aplikasi menghambat pekerjaan bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi yang digunakan tersedia untuk pengguna bagi saya,aplikasi yang digunakan tersedia untuk pengguna bagi saya,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna aplikasi dalam kondisi normal,aplikasi ini berjalan sangat lambat bagi pengguna aplikasi dalam kondisi normal,Negatif
Layanan aplikasi sering mengalami error bagi pengguna aplikasi dalam kondisi normal,layanan aplikasi sering mengalami error bagi pengguna aplikasi dalam kondisi normal,Negatif
Platform digital ini memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,platform digital ini memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,Positif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi tim kerja,aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi tim kerja,Netral
Aplikasi mobile ini memiliki tampilan standar bagi pengguna baru di perangkat iOS,aplikasi mobile ini memiliki tampilan standar bagi pengguna baru di perangkat ios,Netral
Aplikasi yang digunakan memiliki performa yang stabil bagi saya dalam penggunaan sehari-hari,aplikasi yang digunakan memiliki performa yang stabil bagi saya dalam penggunaan seharihari,Positif
Layanan aplikasi sering mengalami gangguan bagi saya saat digunakan secara rutin,layanan aplikasi sering mengalami gangguan bagi saya saat digunakan secara rutin,Negatif
Platform digital ini responsif saat dijalankan bagi pengguna lama di perangkat Android,platform digital ini responsif saat dijalankan bagi pengguna lama di perangkat android,Positif
Sistem aplikasi dapat digunakan bagi pengguna,sistem aplikasi dapat digunakan bagi pengguna,Netral
Sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja di perangkat Android,sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja di perangkat android,Positif
Aplikasi ini meningkatkan produktivitas bagi saya dalam penggunaan sehari-hari,aplikasi ini meningkatkan produktivitas bagi saya dalam penggunaan seharihari,Positif
Aplikasi ini mudah digunakan bagi tim kerja di perangkat Android,aplikasi ini mudah digunakan bagi tim kerja di perangkat android,Positif
Platform digital ini mudah digunakan bagi pengguna lama di perangkat iOS,platform digital ini mudah digunakan bagi pengguna lama di perangkat ios,Positif
Aplikasi ini mudah digunakan bagi pengguna baru pada versi terbaru,aplikasi ini mudah digunakan bagi pengguna baru pada versi terbaru,Positif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya di perangkat Android,aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya di perangkat android,Netral
Aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna aplikasi di perangkat Android,aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna aplikasi di perangkat android,Negatif
Platform digital ini menyediakan layanan digital bagi pengguna baru secara umum,platform digital ini menyediakan layanan digital bagi pengguna baru secara umum,Netral
Sistem aplikasi sulit untuk digunakan bagi saya secara umum,sistem aplikasi sulit untuk digunakan bagi saya secara umum,Negatif
Sistem aplikasi meningkatkan produktivitas bagi pengguna lama,sistem aplikasi meningkatkan produktivitas bagi pengguna lama,Positif
Platform digital ini memudahkan pekerjaan bagi pengguna aplikasi,platform digital ini memudahkan pekerjaan bagi pengguna aplikasi,Positif
Sistem aplikasi menyediakan layanan digital bagi pengguna baru secara umum,sistem aplikasi menyediakan layanan digital bagi pengguna baru secara umum,Netral
Sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat Android,sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat android,Negatif
Aplikasi yang digunakan memiliki performa yang stabil bagi pengguna di perangkat iOS,aplikasi yang digunakan memiliki performa yang stabil bagi pengguna di perangkat ios,Positif
Layanan aplikasi menyediakan layanan digital bagi tim kerja dalam kondisi normal,layanan aplikasi menyediakan layanan digital bagi tim kerja dalam kondisi normal,Netral
Sistem aplikasi memiliki performa yang stabil bagi pengguna baru secara umum,sistem aplikasi memiliki performa yang stabil bagi pengguna baru secara umum,Positif
Aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat Android,aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat android,Negatif
